NCTId,BriefTitle,OverallStatus,WhyStopped,StartDate,CompletionDate,LeadSponsorName,LocationCountries,NumCountries,StopCategory,StartYear
NCT00679536,Allogeneic Transplantation for Pediatric Leukemias With Unrelated Donors,UNKNOWN,No note listed,2008-05,2015-05,Ann & Robert H Lurie Children's Hospital of Chicago,United States,1,No reason recorded,2008
NCT01757899,Effects and Safety of Infusion of Low-Doses of Methylprednisolone in Early ALI and ARDS in Children,WITHDRAWN,Technical problems,2014-01,2016-01,Universidade Federal do Rio de Janeiro,Brazil,1,Other,2014
NCT05689892,Shared Decision Making in Paediatric Inflammatory Bowel Disease,UNKNOWN,No note listed,2024-01,2025-12,London Health Sciences Centre,,0,No reason recorded,2024
NCT05179057,Posoleucel (ALVR105) for the Treatment of Adenovirus Infection in Pediatric and Adult Participants Receiving Standard of Care Following Allogeneic Hematopoietic Cell Transplantation,TERMINATED,Study discontinued as DSMB determined it was futile. No safety concerns were noted.,2022-04,2024-01,AlloVir,Spain|United Kingdom|Italy|Canada|United States|Sweden,6,Efficacy not met,2022
NCT04288700,Evaluation of the Efficacy of Captopril Versus Propranolol and Timolol as a Treatment of Infantile Capillary Hemangioma,UNKNOWN,No note listed,2019-10,2021-10,Ain Shams University,Egypt,1,No reason recorded,2019
NCT04000698,Personalized Targeted Preparative Regimen Before T-depleted Allogeneic HSCT in Children With Chemoresistent Acute Leukemias,UNKNOWN,No note listed,2019-10,2022-12,"Federal Research Institute of Pediatric Hematology, Oncology and Immunology",Russia,1,No reason recorded,2019
NCT01408056,Timolol Option for Ulcerated Hemangiomas (TOUCH Trial),WITHDRAWN,Difficulty with recruitment,2011-02,2014-01,Children's Hospital of Philadelphia,United States,1,Low enrollment/accrual,2011
NCT00020566,"Combination Chemotherapy With or Without Peripheral Stem Cell Transplantation, Radiation Therapy, and/or Surgery in Treating Patients With Ewing's Sarcoma",UNKNOWN,No note listed,2001-02,not listed,University of Leicester,Australia|Puerto Rico|Canada|United States|New Zealand,5,No reason recorded,2001
NCT02509234,Trabectedin and Irinotecan for Refractory Pediatric Sarcomas,UNKNOWN,No note listed,2014-02,2017-07,Technical University of Munich,,0,No reason recorded,2014
NCT00843804,Surveillance for Nosocomial Infections in Pediatric Cancer Patients,UNKNOWN,No note listed,2007-03,2010-06,"University Hospital, Bonn",Switzerland,1,No reason recorded,2007
NCT03158584,"Effect of Intrathecal Morphine in Children Undergoing Major Abdominal Surgeries,",UNKNOWN,No note listed,2017-01,2017-07,Assiut University,Egypt,1,No reason recorded,2017
