NCTId,Country,OverallStatus,StopCategory,StartYear
NCT00679536,United States,UNKNOWN,No reason recorded,2008
NCT01757899,Brazil,WITHDRAWN,Other,2014
NCT05179057,Spain,TERMINATED,Efficacy not met,2022
NCT05179057,United Kingdom,TERMINATED,Efficacy not met,2022
NCT05179057,Italy,TERMINATED,Efficacy not met,2022
NCT05179057,Canada,TERMINATED,Efficacy not met,2022
NCT05179057,United States,TERMINATED,Efficacy not met,2022
NCT05179057,Sweden,TERMINATED,Efficacy not met,2022
NCT04288700,Egypt,UNKNOWN,No reason recorded,2019
NCT04000698,Russia,UNKNOWN,No reason recorded,2019
NCT01408056,United States,WITHDRAWN,Low enrollment/accrual,2011
NCT00020566,Australia,UNKNOWN,No reason recorded,2001
NCT00020566,Puerto Rico,UNKNOWN,No reason recorded,2001
NCT00020566,Canada,UNKNOWN,No reason recorded,2001
NCT00020566,United States,UNKNOWN,No reason recorded,2001
NCT00020566,New Zealand,UNKNOWN,No reason recorded,2001
NCT00843804,Switzerland,UNKNOWN,No reason recorded,2007
NCT03158584,Egypt,UNKNOWN,No reason recorded,2017
NCT03035344,Greece,UNKNOWN,No reason recorded,2015
NCT01916187,Canada,WITHDRAWN,Sponsor/business decision,2013
NCT01898793,United States,TERMINATED,Funding,2014
NCT01108952,Israel,UNKNOWN,No reason recorded,2011
NCT03000335,Israel,UNKNOWN,No reason recorded,2016
NCT03923257,United States,WITHDRAWN,Other,2020
NCT04367779,France,UNKNOWN,No reason recorded,2020
NCT01642095,United States,WITHDRAWN,No reason recorded,2012
NCT06160739,Egypt,UNKNOWN,No reason recorded,2023
NCT05952479,Indonesia,UNKNOWN,No reason recorded,2023
NCT05782959,Russia,UNKNOWN,No reason recorded,2021
NCT05087537,Egypt,UNKNOWN,No reason recorded,2021
NCT04767152,Russia,UNKNOWN,No reason recorded,2021
NCT06226519,Italy,UNKNOWN,No reason recorded,2020
NCT00180830,France,TERMINATED,No reason recorded,2003
NCT00180830,Netherlands,TERMINATED,No reason recorded,2003
